question,query_type,baseline_similarity,improved_similarity,similarity_change,baseline_exact_match,improved_exact_match,ground_truth_sql,improved_generated_sql,baseline_generated_sql
Which team has the best record in close games (margin ≤ 5 points)?,ranking,0.04335518648018648,0.10518939393939394,0.061834207459207466,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) WHERE ABS(g.pts_home - g.pts_away) <= 5 GROUP BY t.id, t.full_name HAVING COUNT(*) >= 100 ORDER BY CAST(SUM(CASE WHEN (g.team_id_home = t.id AND g.pts_home > g.pts_away) OR (g.team_id_away = t.id AND g.pts_away > g.pts_home) THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100 DESC LIMIT 1","WITH close_games AS (
  SELECT 
    team_id_home AS team_id, 
    CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END AS win
  FROM game 
  WHERE ABS(pts_home - pts_away) <= 5
  UNION ALL
  SELECT 
    team_id_away AS team_id, 
    CASE WHEN wl_away = 'W' THEN 1 ELSE 0 END AS win
  FROM game 
  WHERE ABS(pts_home - pts_away) <= 5
)
SELECT 
  t.full_name, 
  COUNT(*) AS total_close_games,
  SUM(cg.win) AS wins,
  ROUND(CAST(SUM(cg.win) AS FLOAT) / COUNT(*) * 100, 2) AS win_percentage
FROM close_games cg
JOIN team t ON cg.team_id = t.id
GROUP BY cg.team_id, t.full_name
HAVING COUNT(*) >= 10
ORDER BY win_percentage DESC
LIMIT 1","WITH close_games AS (
    SELECT 
        home_team AS team,
        CASE WHEN home_score > away_score THEN 1 ELSE 0 END AS win
    FROM games
    WHERE ABS(home_score - away_score) <= 5
    
    UNION ALL
    
    SELECT 
        away_team AS team,
        CASE WHEN away_score > home_score THEN 1 ELSE 0 END AS win
    FROM games
    WHERE ABS(home_score - away_score) <= 5
),
team_records AS (
    SELECT 
        team,
        SUM(win) AS wins,
        COUNT(*) - SUM(win) AS losses,
        SUM(win) * 1.0 / COUNT(*) AS win_percentage
    FROM close_games
    GROUP BY team
)
SELECT 
    team,
    wins,
    losses,
    win_percentage
FROM team_records
WHERE wins > 0  -- Only include teams that have at least one win
ORDER BY win_percentage DESC, wins DESC
LIMIT 1;"
Who is the player with the longest name?,filtering,0.35,0.5750000000000001,0.2250000000000001,False,False,SELECT first_name || ' ' || last_name as full_name FROM common_player_info ORDER BY LENGTH(first_name || ' ' || last_name) DESC LIMIT 1,SELECT full_name FROM player ORDER BY LENGTH(full_name) DESC LIMIT 1,"SELECT player_name
FROM players
ORDER BY LENGTH(player_name) DESC
LIMIT 1;"
What's the average margin of victory in playoff games?,comparison,0.42083333333333334,0.6,0.17916666666666664,False,False,"SELECT ROUND(AVG(ABS(g.pts_home - g.pts_away)), 2) as avg_margin FROM game g WHERE g.season_type = 'Playoffs'","SELECT ROUND(AVG(ABS(pts_home - pts_away)), 2) AS avg_margin_of_victory FROM game WHERE season_type = 'Playoffs'","SELECT AVG(ABS(home_score - away_score)) AS average_margin_of_victory
FROM games
WHERE is_playoff_game = TRUE;"
Which team has the most different players on their all-time roster?,aggregation,0.3044444444444444,0.8461111111111111,0.5416666666666667,False,False,"SELECT t.full_name FROM team t JOIN common_player_info cpi ON t.id = cpi.team_id GROUP BY t.id, t.full_name ORDER BY COUNT(DISTINCT cpi.person_id) DESC LIMIT 1","SELECT t.full_name, COUNT(DISTINCT cpi.person_id) as player_count 
FROM common_player_info cpi 
JOIN team t ON cpi.team_id = t.id 
GROUP BY t.id, t.full_name 
ORDER BY player_count DESC 
LIMIT 1","SELECT 
    team_name,
    COUNT(DISTINCT player_id) AS total_players
FROM 
    team_rosters
GROUP BY 
    team_name
ORDER BY 
    total_players DESC
LIMIT 1;"
What's the most common final score?,aggregation,0.3725,0.45999999999999996,0.08749999999999997,False,False,"SELECT g.pts_home || '-' || g.pts_away as score FROM game g GROUP BY g.pts_home, g.pts_away ORDER BY COUNT(*) DESC LIMIT 1","SELECT pts_home, pts_away, COUNT(*) as frequency FROM game GROUP BY pts_home, pts_away ORDER BY frequency DESC LIMIT 1","SELECT final_score, COUNT(*) AS frequency
FROM games
GROUP BY final_score
ORDER BY frequency DESC
LIMIT 1;"
Which team has the best record on Christmas Day?,ranking,0.052331070889894415,0.5767142857142856,0.5243832148243912,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) JOIN game_info gi ON g.game_id = gi.game_id WHERE strftime('%m-%d', gi.game_date) = '12-25' GROUP BY t.id, t.full_name HAVING COUNT(*) >= 5 ORDER BY CAST(SUM(CASE WHEN (g.team_id_home = t.id AND g.pts_home > g.pts_away) OR (g.team_id_away = t.id AND g.pts_away > g.pts_home) THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) DESC LIMIT 1","SELECT t.full_name, 
       COUNT(CASE WHEN (g.team_id_home = t.id AND g.wl_home = 'W') OR (g.team_id_away = t.id AND g.wl_away = 'W') THEN 1 END) AS wins,
       COUNT(CASE WHEN (g.team_id_home = t.id AND g.wl_home = 'L') OR (g.team_id_away = t.id AND g.wl_away = 'L') THEN 1 END) AS losses,
       ROUND(COUNT(CASE WHEN (g.team_id_home = t.id AND g.wl_home = 'W') OR (g.team_id_away = t.id AND g.wl_away = 'W') THEN 1 END) * 100.0 / 
             (COUNT(CASE WHEN (g.team_id_home = t.id AND g.wl_home = 'W') OR (g.team_id_away = t.id AND g.wl_away = 'W') THEN 1 END) + 
              COUNT(CASE WHEN (g.team_id_home = t.id AND g.wl_home = 'L') OR (g.team_id_away = t.id AND g.wl_away = 'L') THEN 1 END)), 2) AS win_percentage,
       COUNT(*) AS total_games
FROM game g
JOIN team t ON g.team_id_home = t.id OR g.team_id_away = t.id
WHERE strftime('%m-%d', g.game_date) = '12-25'
GROUP BY t.id, t.full_name
HAVING total_games > 0
ORDER BY win_percentage DESC, total_games DESC
LIMIT 1;","SELECT 
    team_name,
    COUNT(*) AS total_games,
    SUM(CASE WHEN is_winner = TRUE THEN 1 ELSE 0 END) AS wins,
    SUM(CASE WHEN is_winner = FALSE THEN 1 ELSE 0 END) AS losses,
    CAST(SUM(CASE WHEN is_winner = TRUE THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) AS win_percentage
FROM (
    -- This subquery gets all Christmas Day games for each team
    SELECT 
        home_team AS team_name,
        CASE WHEN home_score > away_score THEN TRUE ELSE FALSE END AS is_winner
    FROM games
    WHERE EXTRACT(MONTH FROM game_date) = 12 AND EXTRACT(DAY FROM game_date) = 25
    
    UNION ALL
    
    SELECT 
        away_team AS team_name,
        CASE WHEN away_score > home_score THEN TRUE ELSE FALSE END AS is_winner
    FROM games
    WHERE EXTRACT(MONTH FROM game_date) = 12 AND EXTRACT(DAY FROM game_date) = 25
) AS christmas_games
GROUP BY team_name
ORDER BY win_percentage DESC, wins DESC
LIMIT 1;"
What's the win percentage difference between teams with 3+ rest days vs fewer rest days?,comparison,0.05603448275862069,0.19916666666666666,0.14313218390804597,False,False,"WITH rest_days AS (SELECT g.game_id, t.id, t.full_name, JULIANDAY(g.game_date) - JULIANDAY(LAG(g.game_date) OVER (PARTITION BY t.id ORDER BY g.game_date)) as days_rest, CASE WHEN (g.team_id_home = t.id AND g.pts_home > g.pts_away) OR (g.team_id_away = t.id AND g.pts_away > g.pts_home) THEN 1 ELSE 0 END as won FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away)) SELECT ROUND(AVG(CASE WHEN days_rest >= 3 THEN won END) * 100, 2) - ROUND(AVG(CASE WHEN days_rest < 3 THEN won END) * 100, 2) as win_pct_diff FROM rest_days WHERE days_rest IS NOT NULL","WITH game_with_rest AS (
  SELECT 
    g1.game_id,
    g1.team_id_home,
    g1.team_id_away,
    g1.wl_home,
    g1.wl_away,
    JULIANDAY(g1.game_date) - JULIANDAY(MAX(g2.game_date)) AS home_rest_days,
    JULIANDAY(g1.game_date) - JULIANDAY(MAX(g3.game_date)) AS away_rest_days
  FROM game g1
  LEFT JOIN game g2 ON (g1.team_id_home = g2.team_id_home OR g1.team_id_home = g2.team_id_away)
    AND g2.game_date < g1.game_date
  LEFT JOIN game g3 ON (g1.team_id_away = g3.team_id_home OR g1.team_id_away = g3.team_id_away)
    AND g3.game_date < g1.game_date
  GROUP BY g1.game_id, g1.team_id_home, g1.team_id_away
),
win_stats AS (
  SELECT
    ROUND(SUM(CASE WHEN home_rest_days >= 3 AND wl_home = 'W' THEN 1 ELSE 0 END) * 100.0 / 
      NULLIF(SUM(CASE WHEN home_rest_days >= 3 THEN 1 ELSE 0 END), 0), 2) AS home_win_pct_more_rest,
    ROUND(SUM(CASE WHEN home_rest_days < 3 AND wl_home = 'W' THEN 1 ELSE 0 END) * 100.0 / 
      NULLIF(SUM(CASE WHEN home_rest_days < 3 THEN 1 ELSE 0 END), 0), 2) AS home_win_pct_less_rest,
    ROUND(SUM(CASE WHEN away_rest_days >= 3 AND wl_away = 'W' THEN 1 ELSE 0 END) * 100.0 / 
      NULLIF(SUM(CASE WHEN away_rest_days >= 3 THEN 1 ELSE 0 END), 0), 2) AS away_win_pct_more_rest,
    ROUND(SUM(CASE WHEN away_rest_days < 3 AND wl_away = 'W' THEN 1 ELSE 0 END) * 100.0 / 
      NULLIF(SUM(CASE WHEN away_rest_days < 3 THEN 1 ELSE 0 END), 0), 2) AS away_win_pct_less_rest
  FROM game_with_rest
)
SELECT 
  ROUND(((home_win_pct_more_rest + away_win_pct_more_rest) / 2) - 
        ((home_win_pct_less_rest + away_win_pct_less_rest) / 2), 2) AS win_pct_difference
FROM win_stats","WITH RestDayStats AS (
    SELECT 
        CASE WHEN rest_days >= 3 THEN 'ThreeOrMoreRestDays' ELSE 'FewerRestDays' END AS rest_category,
        COUNT(*) AS total_games,
        SUM(CASE WHEN result = 'win' THEN 1 ELSE 0 END) AS wins
    FROM games
    GROUP BY CASE WHEN rest_days >= 3 THEN 'ThreeOrMoreRestDays' ELSE 'FewerRestDays' END
)

SELECT 
    MAX(CASE WHEN rest_category = 'ThreeOrMoreRestDays' THEN (wins * 100.0 / total_games) END) AS three_plus_rest_win_pct,
    MAX(CASE WHEN rest_category = 'FewerRestDays' THEN (wins * 100.0 / total_games) END) AS fewer_rest_win_pct,
    MAX(CASE WHEN rest_category = 'ThreeOrMoreRestDays' THEN (wins * 100.0 / total_games) END) - 
    MAX(CASE WHEN rest_category = 'FewerRestDays' THEN (wins * 100.0 / total_games) END) AS win_pct_difference
FROM RestDayStats;"
How many players have played for both the Lakers and Celtics?,counting,0.15902777777777777,0.4434027777777778,0.28437500000000004,False,False,"WITH team_players AS (SELECT DISTINCT cpi.person_id FROM common_player_info cpi JOIN team t ON cpi.team_id = t.id WHERE t.nickname IN ('Lakers', 'Celtics')) SELECT COUNT(*) as players_count FROM (SELECT person_id FROM team_players GROUP BY person_id HAVING COUNT(*) = 2) x LIMIT 1","WITH lakers_players AS (SELECT DISTINCT person_id FROM common_player_info WHERE team_name = 'Lakers'), celtics_players AS (SELECT DISTINCT person_id FROM common_player_info WHERE team_name = 'Celtics') SELECT COUNT(*) as players_count FROM lakers_players lp JOIN celtics_players cp ON lp.person_id = cp.person_id","SELECT COUNT(DISTINCT player_id) 
FROM player_teams
WHERE team_id IN (
    SELECT team_id 
    FROM teams 
    WHERE team_name = 'Lakers'
)
AND player_id IN (
    SELECT player_id 
    FROM player_teams
    WHERE team_id IN (
        SELECT team_id 
        FROM teams 
        WHERE team_name = 'Celtics'
    )
);"
How many games have gone to multiple overtimes?,counting,0.21944444444444444,0.5561111111111111,0.33666666666666667,False,False,SELECT COUNT(*) as multi_ot_games FROM game g JOIN line_score l ON g.game_id = l.game_id WHERE l.pts_ot2_home IS NOT NULL LIMIT 1,"SELECT COUNT(*) as multiple_overtime_games 
FROM line_score 
WHERE (pts_ot2_home IS NOT NULL AND pts_ot2_home != 0) 
   OR (pts_ot2_away IS NOT NULL AND pts_ot2_away != 0)","SELECT COUNT(*) AS games_with_multiple_overtimes
FROM games
WHERE number_of_overtimes > 1;"
What's the average game attendance?,aggregation,0.2,0.7,0.49999999999999994,False,False,"SELECT ROUND(AVG(attendance), 0) as avg_attendance FROM game_info WHERE attendance > 0 LIMIT 1","SELECT ROUND(AVG(attendance), 2) as avg_attendance FROM game_info","SELECT AVG(attendance) AS average_attendance
FROM games;"
Which team has the highest percentage of games with 100+ points scored?,ranking,0.27414772727272724,0.679965034965035,0.4058173076923078,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING COUNT(*) >= 50 ORDER BY CAST(SUM(CASE WHEN (g.team_id_home = t.id AND g.pts_home >= 100) OR (g.team_id_away = t.id AND g.pts_away >= 100) THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100 DESC LIMIT 1","SELECT t.full_name, t.nickname, ROUND(COUNT(CASE WHEN (g.team_id_home = t.id AND g.pts_home >= 100) OR (g.team_id_away = t.id AND g.pts_away >= 100) THEN 1 END) * 100.0 / COUNT(*), 2) AS pct_games_100_plus FROM game g JOIN team t ON g.team_id_home = t.id OR g.team_id_away = t.id GROUP BY t.id, t.full_name, t.nickname ORDER BY pct_games_100_plus DESC LIMIT 1","SELECT 
    team_name,
    COUNT(CASE WHEN points >= 100 THEN 1 END) AS games_with_100_plus,
    COUNT(*) AS total_games,
    (COUNT(CASE WHEN points >= 100 THEN 1 END) * 100.0 / COUNT(*)) AS percentage
FROM games
GROUP BY team_name
ORDER BY percentage DESC
LIMIT 1;"
What's the largest point deficit in any game?,ranking,0.675,0.95,0.2749999999999999,False,False,SELECT MAX(ABS(pts_home - pts_away)) as max_deficit FROM game,SELECT MAX(ABS(pts_home - pts_away)) as largest_deficit FROM game LIMIT 1,"SELECT 
    MAX(ABS(home_score - away_score)) AS largest_point_deficit
FROM 
    games;"
What percentage of games are won by the home team?,aggregation,0.675,1.0,0.32499999999999996,False,True,"SELECT ROUND(CAST(SUM(CASE WHEN pts_home > pts_away THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100, 2) as home_win_pct FROM game","SELECT ROUND(CAST(SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100, 2) as home_win_pct FROM game","SELECT 
    (COUNT(CASE WHEN home_team_score > away_team_score THEN 1 END) * 100.0 / COUNT(*)) AS home_team_win_percentage
FROM 
    games"
Which team has the highest free throw percentage?,ranking,0.2740489130434782,0.7156354515050167,0.4415865384615385,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING SUM(CASE WHEN g.team_id_home = t.id THEN g.fta_home ELSE g.fta_away END) >= 100 ORDER BY CAST(SUM(CASE WHEN g.team_id_home = t.id THEN g.ftm_home ELSE g.ftm_away END) AS FLOAT) / SUM(CASE WHEN g.team_id_home = t.id THEN g.fta_home ELSE g.fta_away END) * 100 DESC LIMIT 1","SELECT t.full_name, ROUND(SUM(g.ftm_home + g.ftm_away) * 100.0 / NULLIF(SUM(g.fta_home + g.fta_away), 0), 2) AS ft_pct 
FROM game g 
JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away 
GROUP BY t.id, t.full_name 
ORDER BY ft_pct DESC 
LIMIT 1","SELECT 
    team_name,
    (free_throws_made / free_throws_attempted) * 100 AS free_throw_percentage
FROM 
    teams
ORDER BY 
    free_throw_percentage DESC
LIMIT 1;"
What's the average number of fouls per game?,aggregation,0.675,0.875,0.19999999999999996,False,False,"SELECT ROUND(AVG(pf_home + pf_away), 2) as avg_fouls FROM game","SELECT ROUND(AVG(pf_home + pf_away), 2) as avg_fouls_per_game FROM game","SELECT AVG(fouls) AS average_fouls_per_game
FROM games;"
Which team has the highest 3-point shooting percentage?,ranking,0.2740489130434782,0.6856354515050167,0.4115865384615385,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING SUM(CASE WHEN g.team_id_home = t.id THEN g.fg3a_home ELSE g.fg3a_away END) >= 100 ORDER BY CAST(SUM(CASE WHEN g.team_id_home = t.id THEN g.fg3m_home ELSE g.fg3m_away END) AS FLOAT) / SUM(CASE WHEN g.team_id_home = t.id THEN g.fg3a_home ELSE g.fg3a_away END) * 100 DESC LIMIT 1","SELECT t.full_name, t.nickname, ROUND(AVG(CASE WHEN g.team_id_home = t.id THEN g.fg3_pct_home ELSE g.fg3_pct_away END) * 100, 2) AS avg_3pt_pct FROM game g JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away GROUP BY t.id, t.full_name, t.nickname ORDER BY avg_3pt_pct DESC LIMIT 1","SELECT 
    team_name,
    (made_three_pointers / NULLIF(attempted_three_pointers, 0)) * 100 AS three_point_percentage
FROM 
    teams
ORDER BY 
    three_point_percentage DESC
LIMIT 1;"
What's the average number of rebounds per game?,aggregation,0.675,0.875,0.19999999999999996,False,False,"SELECT ROUND(AVG(reb_home + reb_away), 2) as avg_rebounds FROM game","SELECT ROUND(AVG(reb_home + reb_away), 2) as avg_rebounds_per_game FROM game","SELECT AVG(rebounds) AS average_rebounds_per_game
FROM games;"
How many games were decided by a single possession (3 points or less)?,counting,0.55,0.75,0.19999999999999996,False,False,SELECT COUNT(*) FROM game WHERE ABS(pts_home - pts_away) <= 3,SELECT COUNT(*) as single_possession_games FROM game WHERE ABS(pts_home - pts_away) <= 3,"SELECT COUNT(*) AS single_possession_games
FROM games
WHERE ABS(home_score - away_score) <= 3"
How many players were drafted in the first round in 2019?,counting,0.42142857142857143,0.7428571428571428,0.32142857142857134,False,False,SELECT COUNT(*) FROM draft_history WHERE season = '2019' AND round_number = 1,SELECT COUNT(*) as first_round_picks FROM draft_history WHERE season = '2019' AND round_number = 1 LIMIT 1,"SELECT COUNT(*) AS first_round_draft_count
FROM players
WHERE draft_round = 1 
AND draft_year = 2019;"
Which team has the highest average attendance?,ranking,0.04593749999999999,0.6225,0.5765625000000001,False,False,"SELECT t.full_name FROM game g JOIN team t ON g.team_id_home = t.id JOIN game_info gi ON g.game_id = gi.game_id WHERE gi.attendance > 0 GROUP BY t.id, t.full_name ORDER BY AVG(gi.attendance) DESC LIMIT 1","SELECT t.full_name, ROUND(AVG(gi.attendance), 2) as avg_attendance FROM game_info gi JOIN game g ON gi.game_id = g.game_id JOIN team t ON g.team_id_home = t.id GROUP BY t.id, t.full_name ORDER BY avg_attendance DESC LIMIT 1","SELECT team, AVG(attendance) as average_attendance
FROM games
GROUP BY team
ORDER BY average_attendance DESC
LIMIT 1;"
What's the most common final score in overtime games?,aggregation,0.05444444444444444,0.27111111111111114,0.2166666666666667,False,False,"SELECT g.pts_home || '-' || g.pts_away as score FROM game g JOIN line_score l ON g.game_id = l.game_id WHERE l.pts_ot1_home IS NOT NULL GROUP BY g.pts_home, g.pts_away ORDER BY COUNT(*) DESC LIMIT 1","SELECT pts_home || '-' || pts_away AS final_score, COUNT(*) AS frequency FROM line_score WHERE (pts_ot1_home > 0 OR pts_ot1_away > 0) GROUP BY final_score ORDER BY frequency DESC LIMIT 1","SELECT 
    home_score || '-' || away_score AS final_score,
    COUNT(*) AS frequency
FROM 
    games
WHERE 
    is_overtime = TRUE
GROUP BY 
    final_score
ORDER BY 
    frequency DESC
LIMIT 1;"
How many players are from Kentucky?,counting,0.6416666666666667,0.3666666666666667,-0.275,False,False,SELECT COUNT(*) FROM draft_history WHERE organization = 'Kentucky',SELECT COUNT(*) as kentucky_players FROM common_player_info WHERE school = 'Kentucky' LIMIT 1,"SELECT COUNT(*) 
FROM players 
WHERE state = 'Kentucky';"
Which team has the most assists per game?,ranking,0.29958333333333337,0.738525641025641,0.43894230769230763,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name ORDER BY CAST(SUM(CASE WHEN g.team_id_home = t.id THEN g.ast_home ELSE g.ast_away END) AS FLOAT) / COUNT(*) DESC LIMIT 1","SELECT t.full_name, ROUND(AVG(CASE WHEN g.team_id_home = t.id THEN g.ast_home ELSE g.ast_away END), 2) AS avg_assists_per_game FROM game g JOIN team t ON g.team_id_home = t.id OR g.team_id_away = t.id GROUP BY t.id, t.full_name ORDER BY avg_assists_per_game DESC LIMIT 1","SELECT 
    team_name,
    SUM(assists) / COUNT(DISTINCT game_id) AS assists_per_game
FROM 
    team_game_stats
GROUP BY 
    team_name
ORDER BY 
    assists_per_game DESC
LIMIT 1;"
What's the average height of centers?,aggregation,0.28571428571428575,0.8236263736263736,0.5379120879120878,False,False,"SELECT ROUND(AVG(CAST(SUBSTR(height, 1, INSTR(height, '-')-1) AS FLOAT)), 2) as avg_height FROM common_player_info WHERE position LIKE '%C%' AND height != ''","SELECT ROUND(AVG(CAST(SUBSTR(height, 1, INSTR(height, '-') - 1) AS FLOAT) * 12 + CAST(SUBSTR(height, INSTR(height, '-') + 1) AS FLOAT)), 2) as avg_height_inches FROM common_player_info WHERE position LIKE '%Center%' OR position = 'C'","SELECT AVG(height) 
FROM players 
WHERE position = 'Center';"
Which team has the most playoff appearances?,ranking,0.056874999999999995,0.8093589743589744,0.7524839743589744,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) WHERE g.season_type = 'Playoffs' GROUP BY t.id, t.full_name ORDER BY COUNT(DISTINCT SUBSTR(g.season_id, 1, 4)) DESC LIMIT 1","SELECT t.full_name, COUNT(DISTINCT g.season_id) AS playoff_appearances 
FROM game g 
JOIN team t ON g.team_id_home = t.id OR g.team_id_away = t.id 
WHERE g.season_type = 'Playoffs' 
GROUP BY t.id, t.full_name 
ORDER BY playoff_appearances DESC 
LIMIT 1","SELECT 
    team_name,
    COUNT(*) AS playoff_appearances
FROM 
    playoff_teams
GROUP BY 
    team_name
ORDER BY 
    playoff_appearances DESC
LIMIT 1;"
What's the most common player height?,detail,0.33666666666666667,0.6991666666666666,0.36249999999999993,False,False,SELECT height FROM common_player_info WHERE height != '' GROUP BY height ORDER BY COUNT(*) DESC LIMIT 1,"SELECT height, COUNT(*) as count FROM common_player_info WHERE height IS NOT NULL GROUP BY height ORDER BY count DESC LIMIT 1","SELECT height, COUNT(*) AS count
FROM players
GROUP BY height
ORDER BY count DESC
LIMIT 1;"
How many games were played on New Year's Day?,counting,0.25,0.675,0.42500000000000004,False,False,"SELECT COUNT(*) FROM game_info WHERE strftime('%m-%d', game_date) = '01-01'","SELECT COUNT(*) as games_count FROM game WHERE strftime('%m-%d', game_date) = '01-01'","SELECT COUNT(*) AS games_count
FROM games
WHERE MONTH(game_date) = 1 AND DAY(game_date) = 1;"
Which team has the highest percentage of games with 10+ steals?,ranking,0.27414772727272724,0.3349512987012987,0.06080357142857146,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING COUNT(*) >= 50 ORDER BY CAST(SUM(CASE WHEN (g.team_id_home = t.id AND g.stl_home >= 10) OR (g.team_id_away = t.id AND g.stl_away >= 10) THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100 DESC LIMIT 1","WITH team_games AS (
  SELECT team_id_home AS team_id, COUNT(*) AS total_games, SUM(CASE WHEN stl_home >= 10 THEN 1 ELSE 0 END) AS games_with_10_steals
  FROM game
  GROUP BY team_id_home
  UNION ALL
  SELECT team_id_away AS team_id, COUNT(*) AS total_games, SUM(CASE WHEN stl_away >= 10 THEN 1 ELSE 0 END) AS games_with_10_steals
  FROM game
  GROUP BY team_id_away
), team_stats AS (
  SELECT team_id, SUM(total_games) AS total_games, SUM(games_with_10_steals) AS games_with_10_steals
  FROM team_games
  GROUP BY team_id
)
SELECT t.full_name, ROUND(CAST(ts.games_with_10_steals AS FLOAT) / ts.total_games * 100, 2) AS steal_percentage
FROM team_stats ts
JOIN team t ON ts.team_id = t.id
ORDER BY steal_percentage DESC
LIMIT 1","SELECT 
    team_name,
    (COUNT(CASE WHEN steals >= 10 THEN 1 END) * 100.0 / COUNT(*)) AS percentage_games_with_10plus_steals
FROM 
    games
GROUP BY 
    team_name
ORDER BY 
    percentage_games_with_10plus_steals DESC
LIMIT 1;"
What's the average number of blocks per game?,aggregation,0.675,0.875,0.19999999999999996,False,False,"SELECT ROUND(AVG(blk_home + blk_away), 2) as avg_blocks FROM game","SELECT ROUND(AVG(blk_home + blk_away), 2) as avg_blocks_per_game FROM game","SELECT AVG(blocks) AS average_blocks_per_game
FROM games;"
Which team has the most games with 20+ assists?,ranking,0.025763888888888888,0.4773429951690821,0.4515791062801932,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN (g.team_id_home = t.id AND g.ast_home >= 20) OR (g.team_id_away = t.id AND g.ast_away >= 20) THEN 1 ELSE 0 END) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as high_assist_games FROM game g JOIN team t ON g.team_id_home = t.id WHERE g.ast_home >= 20 GROUP BY t.id, t.full_name UNION ALL SELECT t.full_name, COUNT(*) as high_assist_games FROM game g JOIN team t ON g.team_id_away = t.id WHERE g.ast_away >= 20 GROUP BY t.id, t.full_name ORDER BY high_assist_games DESC LIMIT 1","SELECT 
    team_name,
    COUNT(*) AS games_with_20plus_assists
FROM 
    games
WHERE 
    team_assists >= 20
GROUP BY 
    team_name
ORDER BY 
    games_with_20plus_assists DESC
LIMIT 1;"
Which team has the lowest turnover rate?,ranking,0.25,0.6834615384615385,0.43346153846153845,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING COUNT(*) >= 50 ORDER BY CAST(SUM(CASE WHEN g.team_id_home = t.id THEN g.tov_home ELSE g.tov_away END) AS FLOAT) / COUNT(*) ASC LIMIT 1","SELECT t.full_name, t.nickname, 
       ROUND(AVG(CASE WHEN g.team_id_home = t.id THEN g.tov_home ELSE g.tov_away END), 2) AS avg_turnovers
FROM game g
JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away
GROUP BY t.id, t.full_name, t.nickname
ORDER BY avg_turnovers ASC
LIMIT 1","SELECT team_name, 
       (COUNT(CASE WHEN employee_status = 'terminated' OR employee_status = 'resigned' THEN 1 END) * 100.0 / COUNT(*)) AS turnover_rate
FROM employees
GROUP BY team_name
ORDER BY turnover_rate ASC
LIMIT 1;"
What's the average weight of power forwards?,aggregation,0.296875,0.7984375,0.5015625,False,False,"SELECT ROUND(AVG(CAST(weight AS FLOAT)), 2) as avg_weight FROM common_player_info WHERE position LIKE '%F%' AND weight != ''","SELECT ROUND(AVG(CAST(weight AS FLOAT)), 2) as avg_weight FROM common_player_info WHERE position = 'Forward' OR position = 'Forward-Center' OR position = 'Forward-Guard' OR position LIKE '%Power Forward%'","SELECT AVG(weight) AS average_weight
FROM players
WHERE position = 'Power Forward' OR position = 'PF';"
